"","filename","X","Y","HitOrder","SPP","STATUS","TISSUE","CanopyHeight.mm.","Extra.sp","SITE","PLOT","TRTMT","Observer","DATE","TOMST","Flag","Flag.1","SPP_sub"
"127","SAL_1C.csv",30,60,"Top","carspp","live","flower_stem","21","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"128","SAL_1C.csv",30,60,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"129","SAL_1C.csv",40,60,"Top","other","","","17","","Salix","1","control","joanna","sept 25 2022","","","","other"
"130","SAL_1C.csv",40,60,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"131","SAL_1C.csv",50,60,"Top","caraur","live","leaf","7","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"132","SAL_1C.csv",50,60,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"133","SAL_1C.csv",60,60,"Top","triglu","standing_dead","flower","20","","Salix","1","control","joanna","sept 25 2022","","","","triglu"
"134","SAL_1C.csv",60,60,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"135","SAL_1C.csv",70,60,"Top","salbar","standing_dead","leaf","14","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"136","SAL_1C.csv",70,60,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"137","SAL_1C.csv",80,60,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"138","SAL_1C.csv",80,60,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"139","SAL_1C.csv",90,60,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"140","SAL_1C.csv",90,60,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"141","SAL_1C.csv",0,70,"Top","caraur","live","leaf","5","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"142","SAL_1C.csv",0,70,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"143","SAL_1C.csv",10,70,"Top","triglu","live","flower_stem","6.5","","Salix","1","control","joanna","sept 25 2022","","","","triglu"
"144","SAL_1C.csv",10,70,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"145","SAL_1C.csv",20,70,"Top","other","","","0","","Salix","1","control","joanna","sept 25 2022","","","","other"
"146","SAL_1C.csv",20,70,"Bottom","other","","","","","Salix","1","control","joanna","sept 25 2022","","","","other"
"147","SAL_1C.csv",30,70,"Top","litter","","","1","","Salix","1","control","joanna","sept 25 2022","","","","litter"
